pid,bin,iin,inn,unp,regdate,crdate,index_date,number_reg,name_ru,name_kz,country_code,customer,organizer,mark_national_company,ref_kopf_code,mark_assoc_with_disab,system_id,supplier,type_supplier,krp_code,oked_list,kse_code,mark_world_company,mark_state_monopoly,mark_natural_monopoly,mark_patronymic_producer,mark_patronymic_supplyer,mark_small_employer,is_single_org,email,phone,website,last_update_date,qvazi,year,mark_resident
17,294541665866,536040576455,833296183740,697585967787,2023-05-21,2025-03-02,2023-08-04 08:09:12,26862,ИП «Сервис-Мастер»,ИП «Service-Master»,KG,0,1,0,831,0,3,1,1,276,7110,640,0,0,0,1,0,0,0,bnosov@example.net,+7 (703) 333-4455,https://www.molchanov.info/,2023-11-21 10:18:08,1,2023,0
18,676559371537,806376425999,280526017342,458889998608,2023-09-06,2025-07-03,2024-01-18 06:24:39,55684,ТОО «Зета Мед»,ТОО «Zeta Med»,KG,1,0,1,676,0,3,1,3,509,8110,907,0,1,0,1,0,0,0,voronovostromir@example.com,+7 (703) 444-5566,http://www.ao.org/,2025-09-17 21:35:02,1,2010,0
19,953243758940,217099679740,717652407625,107237867860,2024-03-30,2023-08-10,2024-10-11 23:45:02,98624,АО «БиоЛаб»,АО «BioLab»,KG,0,0,0,762,0,3,1,1,929,9110,601,1,1,1,1,0,0,1,tsafonova@example.net,+7 (703) 555-6677,http://www.ao.org/,2025-01-30 01:43:28,1,2003,0
20,256921616494,878758054068,798055125033,947200073734,2024-12-24,2023-02-28,2024-04-18 01:59:39,39959,ИП «Clean&Care»,ИП «Clean&Care»,KG,1,1,1,569,0,3,1,1,156,10110,558,0,0,1,0,0,1,1,stanimir1990@example.net,+7 (703) 666-7788,https://www.zao.org/,2024-02-15 10:19:09,1,2004,0
21,641256088666,381503485276,124202250422,242937303627,2024-02-21,2023-07-24,2025-11-02 17:30:07,64353,ТОО «Тета Строй»,ТОО «Teta Qurylys»,KZ,0,0,1,894,1,3,1,2,775,10200,468,1,1,1,0,0,0,1,sinklitikija1971@example.com,+7 (703) 777-8899,http://www.ompk.info/,2024-08-04 05:08:43,1,2014,1
22,361586465679,990925290666,955176526224,469153342848,2023-08-01,2023-08-04,2024-04-04 04:56:36,11355,ИП «ТрансАвто Запчасти»,ИП «TransAuto JekBölikteri»,KG,0,0,0,950,1,3,1,1,467,10311,193,0,1,1,1,0,1,1,anatoli_36@example.net,+7 (704) 101-2023,https://www.mumt.ru/,2024-02-16 05:11:24,0,2016,0
23,752537787504,256584109694,585736968821,226870966370,2023-12-27,2025-11-21,2024-11-14 18:33:37,35094,АО «ПромМашСервис»,АО «PromMashService»,UZ,1,1,0,438,1,3,0,3,117,10312,629,0,0,1,1,1,0,0,foma2012@example.com,+7 (704) 212-3234,http://www.oao.biz/,2025-11-13 03:31:16,0,2021,0
24,349122320655,634149779893,703251358361,178555881705,2022-12-25,2024-09-25,2023-02-04 18:02:15,93477,ТОО «Иота Агро»,ТОО «Iota Agro»,UZ,0,0,0,570,1,3,0,3,602,10410,11,1,1,1,0,0,0,0,moke_2004@example.net,+7 (704) 323-4345,http://ao.org/,2023-09-30 04:56:13,1,2023,1
25,358044850231,993391202106,447479718064,108267346571,2024-02-28,2025-03-04,2023-11-11 05:03:36,23314,ИП «ЛабСнаб»,ИП «LabSnab»,KZ,1,1,0,233,0,3,0,1,993,10510,683,1,0,1,1,0,1,1,frol_2014@example.com,+7 (704) 434-5456,http://www.satkinski.net/,2022-12-02 18:41:09,1,2018,1
26,374590884746,980698949695,751870946887,111428942546,2022-12-27,2023-04-04,2025-09-12 09:30:31,81914,АО «КазАгроИнвест»,АО «KazAgroInvest»,KG,1,1,1,908,0,3,1,2,657,10610,378,0,1,1,0,0,0,0,bogdan1992@example.org,+7 (704) 545-6567,http://npo.edu/,2025-06-26 05:30:49,0,2000,0
27,158792481826,566059419891,889534107488,547967272260,2024-05-14,2025-01-07,2024-04-11 23:06:22,84857,ТОО «Каппа Энергия»,ТОО «Kappa Energy»,KG,0,0,0,184,0,3,0,1,443,10710,452,1,0,0,1,1,0,1,aleksandra_1974@example.com,+7 (704) 656-7678,http://rao.net/,2024-07-19 00:21:30,1,2005,1
28,217148113990,717739556879,746216319503,497513150397,2023-06-22,2023-03-25,2025-01-25 00:50:50,98979,ИП «РекламСтайл»,ИП «ReklamStyle»,UZ,1,1,0,556,0,3,1,1,276,10810,68,0,1,0,0,1,1,1,anani_2025@example.com,+7 (704) 767-8789,https://zao.org/,2024-08-02 22:21:11,0,2007,0
29,925077352424,215577916765,996106023506,764411764328,2024-02-10,2024-06-21,2025-05-17 11:06:14,10841,АО «ЭкоТехнологии»,АО «EcoTechnologies»,UZ,1,1,0,213,0,3,1,2,439,11010,77,0,0,0,1,1,0,1,nadezhda66@example.com,+7 (705) 129-8345,http://ooo.edu/,2023-02-02 18:01:43,1,2023,0
30,432482934184,289830575345,885111900538,966721498922,2023-04-20,2024-02-24,2024-03-18 18:35:04,88477,ТОО «Лямбда Инжиниринг»,ТОО «Lambda Engineering»,RU,0,0,0,97,1,3,1,1,697,12010,653,1,1,1,0,0,1,0,iosif1993@example.org,+7 (705) 238-9456,http://www.kononova.org/,2024-12-05 06:59:54,0,2012,0
31,495821835229,878445985363,461166365869,270028286133,2025-09-09,2025-10-03,2023-07-29 09:32:13,83061,ИП «ПромТехСнаб»,ИП «PromTechSnab»,KG,0,1,1,671,1,3,0,2,522,13110,230,1,1,1,1,0,1,0,zhukovantip@example.com,+7 (705) 347-0567,https://konar.net/,2024-10-14 16:28:08,0,2023,0
32,761121029031,665244678016,335382817102,902903510553,2024-11-06,2024-01-01,2023-12-04 01:04:39,30034,АО «СтройИнвест»,АО «QurylysInvest»,KG,0,0,0,539,0,3,0,3,765,14110,572,1,1,0,1,1,0,0,naum89@example.org,+7 (705) 456-1678,https://rao.org/,2024-11-06 21:05:36,0,2018,1
33,313893982821,973794480281,244227784351,357667571304,2025-01-29,2024-08-31,2025-07-21 18:22:52,87649,ИП «СветКом»,ИП «SvetCom»,UZ,0,1,0,464,0,3,1,1,898,15010,497,1,0,1,0,0,0,1,oleg1988@example.com,+7 (705) 569-2789,https://www.oao.edu/,2024-11-22 05:16:30,1,2007,0
34,294581882071,921749946720,969035568008,517914152688,2023-08-01,2024-09-08,2024-03-10 08:46:02,26607,ТОО «Сигма Мебель»,ТОО «Sigma Jihaz»,RU,0,0,1,859,0,3,0,3,133,16110,285,1,1,0,0,1,0,1,gemeljanova@example.org,+7 (705) 678-3890,https://npo.com/,2025-06-25 00:33:22,0,2009,1
35,274313092323,288726769699,112725209715,959536325478,2024-07-19,2024-11-21,2023-10-06 22:55:10,64495,АО «СнабКомплект»,АО «SnabKomplekt»,UZ,1,0,0,70,0,3,1,1,158,17010,55,0,0,1,0,0,1,1,apollinari1970@example.com,+7 (705) 789-4901,http://www.laboratorija.org/,2023-11-04 02:12:59,1,2010,1
36,436918431938,256243043507,887162348567,328317183174,2025-01-23,2022-12-11,2025-04-17 17:49:47,26895,ИП «Упаковка Профи»,ИП «Qaptama Profi»,UZ,0,1,1,715,1,3,1,2,989,18010,811,1,0,1,0,1,1,0,muravevbudimir@example.net,+7 (706) 130-2468,http://ip.net/,2024-04-25 16:34:58,0,2001,0
37,704085179942,712553654115,684050706162,666796017853,2025-07-06,2023-04-01,2023-04-06 08:34:48,47844,ТОО «Тау Клининг»,ТОО «Tau Cleaning»,UZ,1,1,1,144,1,3,1,1,930,20010,800,0,1,0,1,0,1,0,gkrasilnikov@example.org,+7 (706) 241-3579,http://noskov.org/,2023-07-18 11:02:42,1,2004,0
38,476911438293,670576777981,102869257221,522943286956,2023-09-05,2025-07-15,2025-11-13 15:14:45,36497,АО «Логистик Холдинг»,АО «Logistic Holding»,KG,1,1,1,560,1,3,0,2,332,20110,361,0,1,1,0,1,1,0,evgenitretjakov@example.net,+7 (706) 352-4680,http://www.rao.edu/,2024-09-30 11:02:44,1,2006,0
39,249979960934,336978487751,119109380373,979969724895,2024-08-07,2023-04-11,2025-11-21 15:49:14,42283,ИП «ЭнергоСнаб»,ИП «EnergySnab»,KG,0,0,1,254,0,3,0,1,588,20210,399,0,0,0,0,1,1,1,kopilovanatalja@example.org,+7 (706) 463-5791,http://www.oao.org/,2025-10-14 00:17:27,0,2009,1
40,368638596420,859457680017,807620333855,521034542873,2023-06-22,2023-09-20,2024-07-01 21:42:06,14926,ТОО «Омега Поставка»,ТОО «Omega Postavka»,RU,1,1,1,497,0,3,0,2,180,20310,674,1,1,1,0,1,1,0,koshelevfedot@example.net,+7 (706) 574-6802,https://ooo.com/,2023-07-04 09:38:59,0,2013,1
41,588398309125,324805776591,586498601697,973918287727,2024-12-26,2023-11-25,2023-08-08 14:36:30,23907,ИП «МедТехника Казахстан»,ИП «MedTehnika Kazakhstan»,KZ,0,0,0,636,0,3,1,1,567,20410,872,0,0,0,1,0,0,1,djachkovaivanna@example.org,+7 (706) 685-7913,http://zao.net/,2025-11-01 13:46:16,1,2021,0
42,903272156504,577022799090,141602445783,736472654396,2023-06-17,2025-11-01,2025-02-01 07:51:39,37763,АО «ИнфоСистемы»,АО «Aqparat Jüyeleri»,UZ,0,1,0,58,1,3,1,1,26,20510,162,1,1,1,1,1,1,0,modest_2016@example.net,+7 (706) 796-8024,https://www.birjukova.info/,2024-06-19 15:09:21,0,2020,1
43,885980129116,710481520047,921490770049,491715327981,2023-07-08,2025-01-24,2024-02-23 04:05:38,69857,ТОО «ПромИнвест»,ТОО «PromInvest»,KZ,1,1,0,447,1,3,1,1,902,21010,662,0,1,1,0,0,1,0,ponomarevfilimon@example.com,+7 (707) 145-2368,http://ip.ru/,2024-11-01 01:53:58,0,2017,1
44,164315599223,351940832095,167106303911,824983329034,2023-02-25,2023-12-05,2023-03-17 05:59:51,38191,ИП «ХимРеактивы»,ИП «HimReaktivter»,UZ,0,0,1,504,0,3,0,2,558,22110,926,0,0,1,0,0,1,0,gennadisimonov@example.com,+7 (707) 256-3479,https://ooo.edu/,2025-06-17 16:02:49,1,2010,0
45,359142734077,709127752008,902009200166,519090571180,2025-03-24,2023-01-23,2023-11-09 06:41:31,17187,АО «СитиМенеджмент»,АО «QalaMenеджment»,KZ,0,0,1,926,0,3,0,2,45,22210,982,0,1,1,1,1,0,0,vsevolod_45@example.net,+7 (707) 367-4580,https://www.ip.net/,2025-05-31 04:50:44,1,2015,0
46,771828144808,576140727924,664178523822,996987045376,2025-10-05,2023-01-08,2023-01-20 17:20:03,99126,ТОО «СнабПрофи»,ТОО «SnabProfi»,RU,1,0,0,396,0,3,0,1,925,22310,50,1,0,1,0,0,1,1,gennadi1984@example.org,+7 (707) 478-5691,https://www.ershov.ru/,2024-01-10 23:24:40,1,2018,1
47,565865644710,864413359551,136819008819,128977142398,2025-09-23,2025-11-10,2025-10-24 03:46:38,99210,ИП «КлиматТех»,ИП «KlimatTeh»,UZ,0,1,0,444,0,3,1,3,247,23110,253,0,1,0,0,0,0,1,vikentimishin@example.org,+7 (707) 589-6702,http://www.ip.com/,2024-04-24 05:37:10,1,2013,0
48,714063346949,991913270345,895140886545,923964335565,2024-02-21,2023-09-02,2024-05-16 07:57:49,62315,АО «Энергосервис»,АО «EnergoService»,RU,1,0,1,69,1,3,0,2,658,23210,325,0,1,0,0,0,1,1,samson68@example.com,+7 (707) 690-7813,https://ooo.com/,2023-11-07 02:21:00,1,2004,1
49,184956008465,867051312242,345300981915,724088772992,2024-10-27,2025-10-19,2024-05-15 00:34:05,11955,ТОО «ТехМонтаж»,ТОО «TehMontaj»,RU,1,1,0,369,0,3,0,2,932,23310,607,0,1,0,0,1,0,0,evdokimovermil@example.net,+7 (707) 701-8924,http://npo.info/,2024-05-30 11:01:32,1,2016,1
50,769544940174,423095593906,624129319364,112693820017,2023-03-16,2024-04-01,2025-08-26 02:19:22,20055,ИП «АгроСнабKZ»,ИП «AgroSnab KZ»,RU,0,0,0,152,0,3,1,3,941,23410,544,0,0,1,0,1,1,1,simon34@example.org,+7 (708) 158-2693,http://rao.com/,2023-02-03 08:22:04,0,2012,0
51,717165488837,801042984223,904651997120,601426556408,2024-03-03,2024-08-23,2024-04-09 07:49:14,54844,ТОО «СкладСистем»,ТОО «QoymaSystems»,KZ,0,0,0,657,1,3,0,1,382,23510,783,0,0,1,0,1,1,1,sofronlapin@example.org,+7 (708) 269-3704,https://aston.edu/,2023-10-27 15:24:33,0,2001,0
52,553052903999,577598835724,621527977287,485785966104,2025-08-27,2023-05-22,2024-06-12 02:22:16,37289,АО «КазФудГрупп»,АО «KazFoodGroup»,KZ,1,1,0,934,1,3,0,1,490,23610,504,0,0,1,0,1,0,0,popovamvrosi@example.com,+7 (708) 370-4815,https://www.ao.info/,2023-12-10 06:19:46,0,2019,0
53,690150262012,175725621806,935218079948,947097166031,2025-06-25,2022-12-22,2022-12-17 02:21:04,81661,ИП «ФудПоставка»,ИП «FoodPostavka»,KZ,0,0,1,464,0,3,0,1,27,24110,209,0,0,0,0,0,0,1,sobolevanadezhda@example.net,+7 (708) 481-5926,http://www.novartis.net/,2024-11-09 13:26:33,1,2017,1
54,546800566782,474098532528,156048315194,971675305089,2025-05-07,2025-10-19,2025-04-16 15:46:01,18228,ТОО «УниПак»,ТОО «UniPack»,KG,0,0,1,258,1,3,0,3,580,24210,442,0,1,1,1,1,1,1,miron91@example.org,+7 (708) 592-6037,http://veselova.ru/,2023-06-12 23:56:47,0,2015,1
55,222307215668,512000633729,161938851053,985149380168,2025-07-01,2024-03-31,2024-11-30 03:34:41,60817,АО «Корпоративный Фонд»,АО «Korporativ Qory»,UZ,0,1,0,936,0,3,1,2,94,24310,749,0,1,1,1,0,0,0,julian20@example.com,+7 (708) 603-7148,https://rao.edu/,2025-04-17 23:03:35,0,2006,1
56,368596261436,144237519759,962838678394,600504053351,2025-06-16,2025-10-02,2022-11-28 19:16:21,37003,ИП «ЭкоХим»,ИП «EcoHim»,RU,1,1,1,454,0,3,0,3,494,25110,777,0,0,0,1,0,0,1,ruben_86@example.com,+7 (708) 714-8259,https://www.sds-ugol.net/,2023-05-09 18:55:25,1,2010,1
57,152210289011,653232200635,105952244618,965804429893,2024-05-03,2024-09-27,2024-01-19 18:13:39,85852,ТОО «ФудТрейд Казахстан»,ТОО «FoodTrade Kazakhstan»,UZ,0,0,1,437,1,3,0,1,520,25210,263,0,1,1,1,0,0,0,sitnikovaksenija@example.net,+7 (747) 171-2829,https://oao.net/,2024-03-13 23:21:06,1,2016,1
58,298592302690,354025195660,316530857293,108150817845,2025-09-21,2025-02-25,2025-08-07 11:33:12,62238,АО «Технополис»,АО «TechnoPolis»,RU,0,0,1,995,1,3,0,2,202,26110,591,0,0,1,1,1,0,0,leontifadeev@example.net,+7 (747) 282-3930,http://www.tmk.org/,2023-03-26 03:41:22,0,2021,1
59,751065032652,946278894099,370614590372,988131582624,2025-04-30,2025-07-25,2023-11-30 18:39:04,30510,ИП «ВетеринарПро»,ИП «VeterinarPro»,KZ,1,0,1,217,0,3,0,1,726,27110,57,1,0,0,1,0,1,0,eliseevustin@example.org,+7 (747) 393-4041,https://www.teterina.com/,2024-05-15 22:58:24,0,2012,0
60,384225498130,758745506559,575262129699,966715775737,2023-04-01,2024-10-07,2023-01-30 09:26:27,20845,ТОО «ХолодПром»,ТОО «SuıqProm»,RU,1,0,0,585,0,3,0,2,682,28110,925,1,0,1,1,1,0,0,feoktistnazarov@example.net,+7 (747) 404-5152,http://ooo.ru/,2024-03-05 08:23:14,0,2005,1
61,195916931483,202034701765,909498408457,709053369245,2025-04-15,2024-02-18,2025-07-25 20:56:53,34857,ИП «ЛогистикЭкспресс»,ИП «LogisticExpress»,RU,0,1,1,346,1,3,1,2,185,29110,449,0,1,0,1,0,0,1,jakovlevpanfil@example.net,+7 (747) 515-6263,https://oao.org/,2023-03-17 15:58:54,0,2021,0
62,770332652000,351985752495,652713694610,334326326263,2024-05-15,2025-03-11,2023-07-17 19:39:27,22034,АО «МониторингЭкология»,АО «EcoMonitoring»,KG,0,1,1,417,0,3,1,2,241,30110,305,1,0,0,1,1,0,1,milenbolshakov@example.com,+7 (747) 626-7374,https://rao.org/,2023-02-19 06:29:22,0,2003,1
63,439781386052,821716750772,555139448084,632824973264,2023-12-15,2025-04-01,2025-07-17 11:03:40,87701,ТОО «МедСнабЛайн»,ТОО «MedSnabLine»,KG,1,0,0,823,1,3,0,2,35,30210,878,1,1,1,1,0,1,1,ernest_2014@example.net,+7 (747) 737-8485,http://www.sazonova.edu/,2023-04-27 15:39:10,1,2021,1
64,236615820415,924384719463,405095608464,212097084913,2025-06-12,2022-12-20,2023-07-24 00:37:48,86192,ИП «Подарок-Профи»,ИП «Sıylyq-Profi»,KG,0,1,1,228,0,3,0,2,97,31110,657,0,1,1,0,0,1,1,moiseevvladislav@example.org,+7 (771) 181-2929,http://blinov.net/,2024-06-25 10:33:08,1,2008,0
65,559892389474,452191610950,560616648320,598037057105,2023-09-19,2025-01-19,2025-10-07 07:48:23,44290,АО «БанкоТех»,АО «BankoTech»,KZ,0,0,0,244,1,3,1,1,697,31210,805,1,1,1,1,0,1,0,jan_1987@example.org,+7 (771) 292-3030,http://www.zao.net/,2023-07-30 07:46:14,0,2014,0
66,470166434307,677159146235,535752702727,517426601307,2025-08-08,2023-01-21,2022-12-08 13:19:46,66167,ТОО «КиберЗащита»,ТОО «CyberQorgau»,KG,0,0,0,843,0,3,1,3,367,31310,98,0,0,0,0,1,0,0,krilovamilitsa@example.com,+7 (771) 303-4141,http://kiseleva.com/,2024-12-28 20:36:06,0,2000,0
67,628952928603,896093543204,759208533741,631018786112,2025-05-15,2023-12-22,2023-10-17 05:15:38,25035,ИП «ЭкоПак Снаб»,ИП «EcoPack Snab»,UZ,0,0,0,142,0,3,1,3,690,32110,593,1,1,1,1,1,1,1,merkushevfade@example.com,+7 (771) 414-5252,http://npo.com/,2023-01-01 00:47:15,1,2005,1
68,762537424421,438360580043,309997157419,437184642842,2025-04-26,2025-02-08,2024-01-24 21:36:34,29464,АО «Национальная Логистика»,АО «Ulttyq Logistika»,RU,1,0,0,46,1,3,1,1,137,32210,736,1,0,1,0,1,0,0,rstrelkova@example.org,+7 (771) 525-6363,http://www.argos.org/,2023-01-19 00:32:50,0,2013,1
69,598257518194,569715353982,224490120199,288247244969,2024-09-07,2022-12-08,2023-08-25 05:51:31,22073,ТОО «Облачные Решения»,ТОО «Cloud Sheshimder»,UZ,0,0,0,754,0,3,1,3,780,33110,486,0,0,0,0,0,1,1,mitofan1972@example.org,+7 (771) 636-7474,http://ershov.net/,2023-12-26 20:50:15,0,2018,1
70,360969206321,528630991201,913393228379,158091500891,2024-12-31,2025-02-19,2024-07-13 00:49:22,94110,ИП «КазМедЛаб»,ИП «KazMedLab»,UZ,0,0,0,41,1,3,0,3,530,33210,391,0,0,0,0,1,0,1,arhip_48@example.com,+7 (771) 747-8585,https://www.rao.info/,2023-10-17 22:05:01,0,2017,0
71,619449791531,261208287139,348444763348,195238302394,2024-10-03,2024-11-13,2024-11-22 17:55:46,55454,ТОО «POS Системы»,ТОО «POS Jüyeleri»,RU,1,1,0,278,1,3,1,2,301,33310,164,0,1,1,0,1,1,0,mefodi_22@example.org,+7 (775) 191-9091,https://npo.org/,2024-07-02 21:19:06,0,2018,1
72,858909596393,180536286174,140945176926,982982053735,2023-01-19,2023-07-08,2024-08-25 04:44:55,39710,АО «СнабСервис Казахстан»,АО «SnabService Kazakhstan»,KZ,0,1,1,174,1,3,1,3,463,34110,706,0,0,0,0,1,0,0,vkotov@example.net,+7 (775) 202-0102,http://uralskie.ru/,2023-08-11 23:32:49,0,2001,1
73,705607341099,252103077883,605019190525,639647292680,2024-04-13,2024-01-28,2024-06-19 05:22:49,17207,ИП «СадОзеленение»,ИП «Kögaldandyru Service»,KZ,0,0,1,879,0,3,0,1,801,34210,393,0,0,0,1,1,0,1,nazar1987@example.org,+7 (775) 313-1213,https://www.oao.org/,2025-03-04 11:31:58,1,2015,0
74,310774533713,867683172172,547612476481,108510300647,2025-10-03,2023-02-02,2024-09-10 06:55:10,35775,ТОО «ЭкоАгро»,ТОО «EcoAgro»,UZ,0,1,0,972,1,3,0,3,46,35110,931,1,0,0,0,1,1,0,rusakovevstafi@example.net,+7 (775) 424-2324,http://www.dochki-sinochki.ru/,2025-09-23 03:13:42,1,2020,1
75,748095177385,179190033730,846506583674,364138385066,2025-06-19,2023-06-21,2024-05-19 18:51:22,66503,ИП «ТеплоСервис»,ИП «JyluService»,KG,1,0,0,955,1,3,1,2,474,35210,418,1,0,0,0,0,1,0,artemevasofija@example.com,+7 (775) 535-3435,http://www.zao.biz/,2024-11-28 11:22:10,1,2008,0
76,251950290761,680303121770,119522054198,125162541378,2023-12-18,2025-04-12,2023-05-17 09:30:37,49903,АО «ХимПром Казахстан»,АО «HimProm Kazakhstan»,KG,1,0,0,755,0,3,1,2,285,35310,245,1,0,0,1,1,1,1,osipovavtonom@example.com,+7 (775) 646-4546,https://ooo.ru/,2024-12-17 08:42:23,1,2002,1
77,286180861236,980843100145,472189586335,182774701041,2024-04-18,2025-10-06,2025-08-09 23:04:08,57611,ТОО «ТракторСнаб»,ТОО «TractorSnab»,UZ,1,1,1,824,1,3,1,2,459,36010,705,0,0,1,1,0,0,0,maja2022@example.net,+7 (775) 757-5657,http://ip.edu/,2023-06-12 16:34:23,1,2010,0
78,998781684744,114035462348,591156997630,116453053044,2023-01-13,2025-10-16,2023-02-18 05:44:06,40003,ИП «ФасадСтрой»,ИП «FasadQurylys»,KZ,1,0,1,294,0,3,0,1,508,36110,438,1,0,0,0,1,1,0,zgushchin@example.org,+7 (776) 151-6161,https://ooo.biz/,2023-03-15 05:00:09,0,2019,1
