id,lot_number,ref_lot_status_id,last_update_date,union_lots,count,amount,name_ru,name_kz,customer_id,customer_bin,trd_buy_number_anno,trd_buy_id,dumping,dumping_lot_price,psd_sign,compl_exp,consulting_services,point_list,index_date,system_id
46,75123,8,2024-01-10 23:24:40,1,374,7202946,Поставка биометрических систем,Биометриялық жүйелерді жеткізу,164,158698586965,bb9b3082-79ba-494f-bd5c-32bc6d20fe2b,46,0,22553.26,0,1,1,Закупка и настройка биометрических систем,2023-01-20 17:20:03,3
47,18928,5,2024-04-24 05:37:10,1,52,110522,Поставка мебели для гостиниц,Қонақүйге арналған жиһазды жеткізу,66,737439421641,d1a03810-ab2a-48c3-ac92-123c13ea2a99,47,1,81889.77,0,0,1,"Закупка мебели для гостиниц (кровати, тумбы)",2025-10-24 03:46:38,3
48,37927,2,2023-11-07 02:21:00,1,441,5530227,Поставка текстиля для гостиниц,Қонақүй текстильдерін жеткізу,482,502521926416,8ee990e0-dc04-43f1-800a-4849acb6a783,48,1,82783.76,0,0,1,Закупка текстиля для гостиниц (постельное бельё),2024-05-16 07:57:49,3
49,99969,10,2024-05-30 11:01:32,1,84,2004156,Обучение по охране труда,Еңбек қорғау бойынша оқыту,19,901466697985,a1c42bba-63c4-4093-a6c2-3173b8c374b9,49,1,55935.49,0,0,1,Обучение персонала по охране труда и безопасности,2024-05-15 00:34:05,3
50,92670,6,2023-02-03 08:22:04,1,407,9007666,Поставка учебных материалов,Оқу құралдарын жеткізу,219,954501779998,fa28efcb-37e7-4a42-bf80-e9cdf9f30221,50,1,41727.12,0,0,0,Закупка учебных материалов и методических пособий,2025-08-26 02:19:22,3
51,63390,4,2023-10-27 15:24:33,1,267,1175649,Поставка дорожных знаков,Жол белгілерін жеткізу,201,489461654081,1c55b227-1386-4393-ad99-63747f260144,51,0,40349.05,1,1,0,Закупка дорожных знаков и разметки,2024-04-09 07:49:14,3
52,17468,1,2023-12-10 06:19:46,1,472,1778120,Поставка уличного освещения,Көше жарықтандыруын жеткізу,198,315057756288,67f1593f-aa8f-410d-8331-d03c4f803b70,52,1,96037.36,0,1,0,Закупка уличного освещения и фонарных столбов,2024-06-12 02:22:16,3
53,85003,2,2024-11-09 13:26:33,0,174,480826,Монтаж детских площадок,Балалар ойын алаңдарын орнату,500,437514482724,66de0242-7e4d-46b8-8ddc-e400106a9101,53,0,92533.27,1,1,1,Монтаж детских игровых площадок,2022-12-17 02:21:04,3
54,53352,8,2023-06-12 23:56:47,1,484,122111,Благоустройство территории,Аумақты абаттандыру,315,309865371809,98da759c-5e5c-4a65-a5c7-4575ecaaef2e,54,1,2428.42,1,0,0,Благоустройство и озеленение территорий,2025-04-16 15:46:01,3
55,47915,7,2025-04-17 23:03:35,0,107,2762107,Поставка семян и удобрений,Тұқымдар мен тыңайтқыштарды жеткізу,92,628075986859,4cbd7d22-289c-46c1-b341-259f0d7ddfd6,55,1,32938.66,0,0,0,Закупка семян и удобрений для сельхозпроектов,2024-11-30 03:34:41,3
56,76981,8,2023-05-09 18:55:25,0,394,7131384,Поставка сельхозтехники,Агро техниканы жеткізу,49,348954858706,91c930c3-744c-4089-83fa-846f12ced7f0,56,0,61327.06,0,0,1,Закупка сельскохозяйственной техники (тракторы),2022-11-28 19:16:21,3
57,74718,2,2024-03-13 23:21:06,0,484,5193267,Поставка кормов,Малға арналған жем жеткізу,247,983080369842,2bd687d3-2f26-415e-a0df-28d39089ba04,57,1,77313.28,1,1,1,Закупка кормов для сельскохозяйственных животных,2024-01-19 18:13:39,3
58,96903,2,2023-03-26 03:41:22,0,121,6539356,Ветеринарные услуги,Ветеринарлық қызметтер көрсету,275,737445992614,83de341a-eada-455d-8540-13ace1c41392,58,0,96488.97,0,1,0,Ветеринарное обслуживание и вакцинация животных,2025-08-07 11:33:12,3
59,73404,4,2024-05-15 22:58:24,1,378,7439876,Поставка упаковки с логотипом,Логотипі бар қаптаманы жеткізу,222,222222393047,d445e024-fb16-4e27-81fa-93d832494820,59,0,12758.48,0,0,0,Закупка упаковки для пищевых продуктов с логотипом,2023-11-30 18:39:04,3
60,99332,10,2024-03-05 08:23:14,0,495,5634385,Маркетинговые услуги,Маркетинг қызметтері,204,766182989433,31a1af1e-0842-457f-b89e-7aa01a23cdb0,60,1,81745.67,1,0,0,Маркетинговые услуги и digital-продвижение,2023-01-30 09:26:27,3
61,52722,2,2023-03-17 15:58:54,1,84,463971,Поставка рекламных стендов,Жарнама стендтерін жеткізу,121,686648936099,f050d1a8-2e23-4fec-97cf-3c896e6b3679,61,0,89125.53,0,0,0,Закупка рекламных стендов и вывесок,2025-07-25 20:56:53,3
62,89984,9,2023-02-19 06:29:22,1,340,5284293,Печать полиграфии,Полиграфиялық өнімдерді басып шығару,252,923424662358,365e1903-67ca-4a09-97d5-76124d061089,62,0,60025.50,1,1,1,"Полиграфическая продукция (буклеты, брошюры)",2023-07-17 19:39:27,3
63,38984,3,2023-04-27 15:39:10,1,269,5814088,Печать сувениров,Сувенирлерді басып шығару,481,715365692150,c8cd5e23-2fd5-47a4-b8b8-71c0eb0111ac,63,1,7790.70,1,1,1,Печать промо-материалов и сувениров,2025-07-17 11:03:40,3
64,10079,5,2024-06-25 10:33:08,0,123,4198751,Переводческие услуги,Аударма қызметтері,422,859409847020,c0fe1bd2-2f5b-4516-a04a-e08fe7710a8e,64,1,25676.06,1,1,0,Переводческие услуги (письменный перевод),2023-07-24 00:37:48,3
65,53455,3,2023-07-30 07:46:14,1,448,3132895,Услуги устного перевода,Ауызша аударма қызметтері,434,263920892192,ff2d6a7c-15f9-4581-8588-99ff2513c06f,65,1,14790.82,1,1,0,Услуги устного перевода на мероприятиях,2025-10-07 07:48:23,3
66,12756,4,2024-12-28 20:36:06,0,14,8436721,Аудиторские услуги,Аудиторлық қызметтер көрсету,366,184079521537,47c7034f-5360-4199-a51c-bae5eb9d208a,66,0,77328.57,0,1,1,Аудиторские услуги финансовой отчётности,2022-12-08 13:19:46,3
67,99735,8,2023-01-01 00:47:15,0,381,8736720,Юридическое сопровождение,Құқықтық қолдау көрсету,146,595757286022,2d23768d-a0bb-4833-a980-fca7916e5849,67,1,8187.72,1,0,0,Юридическое сопровождение договоров,2023-10-17 05:15:38,3
68,41518,3,2023-01-19 00:32:50,1,147,7774186,Налоговое консультирование,Салық бойынша кеңес беру,381,408462952187,fac6e4c4-da4f-4899-b139-74d5774dbe03,68,1,12763.40,1,0,1,Налоговое консультирование,2024-01-24 21:36:34,3
69,67438,7,2023-12-26 20:50:15,1,91,9072005,Охранные услуги,Охраналық қызметтер көрсету,463,788488879422,242bb555-46d5-46ba-8298-4bbc7f23edd6,69,1,15805.75,1,0,1,Найм и аутсорсинг охранных услуг,2023-08-25 05:51:31,3
70,22436,5,2023-10-17 22:05:01,0,306,2392866,Поставка противопожарного оборудования,Өртке қарсы жабдықтарды жеткізу,23,531579099272,74454efb-4528-4396-81a6-7dfd61b64431,70,0,92918.22,0,1,1,Закупка противопожарного оборудования и огнетушителей,2024-07-13 00:49:22,3
71,47812,6,2024-07-02 21:19:06,1,287,5763520,Противопожарные тренировки,Өртке қарсы жаттығулар өткізу,109,572430171239,9e8c59be-a949-4773-8aa7-bc744b6e1593,71,1,76209.61,1,0,0,Проведение противопожарных тренировок и инструктажей,2024-11-22 17:55:46,3
72,93404,5,2023-08-11 23:32:49,0,373,6400687,Поставка измерительных приборов,Өлшеу аспаптарын жеткізу,337,530378435829,309cf223-d0a7-4bdd-b5f8-360fa44dd63b,72,0,25650.90,0,0,0,Закупка измерительных приборов и датчиков,2024-08-25 04:44:55,3
73,60240,7,2025-03-04 11:31:58,1,161,4481491,Поставка дезинфицирующих средств,Дезинфекция құралдарын жеткізу,165,678045254037,432f24ef-f60f-4156-b0c4-42ea65999a24,73,1,18780.29,0,1,0,Закупка средств санитарии и дезинфекции,2024-06-19 05:22:49,3
74,31365,10,2025-09-23 03:13:42,1,106,7184568,Поставка холодильного оборудования,Тоңазытқыш жабдықтарын жеткізу,326,207531822810,fad52962-b0fa-4c36-ae2b-659c0c8c57ec,74,0,25292.39,1,1,1,Закупка холодильного оборудования для магазинов,2024-09-10 06:55:10,3
75,75011,1,2024-11-28 11:22:10,1,75,3262682,Поставка торгового оборудования,Сауда жабдықтарын жеткізу,472,544155894595,6e428afb-a339-4565-a46f-fb1d9c645916,75,1,28969.73,0,1,0,Закупка витрин и торгового оборудования,2024-05-19 18:51:22,3
76,72338,1,2024-12-17 08:42:23,0,396,4686360,Поставка POS-терминалов,POS-терминалдарды жеткізу,142,731345193072,616eeacb-9785-46d3-b694-6ebcf8e781d8,76,0,67449.81,1,0,1,Закупка POS-терминалов и кассового ПО,2023-05-17 09:30:37,3
77,23648,7,2023-06-12 16:34:23,0,20,4093157,Поставка банкоматов,Банкоматтарды жеткізу және орнату,97,845802938817,73196ca9-5c90-48df-bb5b-9c9acdbca470,77,1,54702.53,0,1,0,Закупка и монтаж банкоматов,2025-08-09 23:04:08,3
78,30110,5,2023-03-15 05:00:09,1,140,2935766,Поставка производственного сырья,Өндірістік шикізатты жеткізу,418,599982151235,587ca757-8701-4af7-9b56-5b4509a12106,78,0,73979.86,1,1,0,"Закупка сырья для производства (пластик, металл)",2023-02-18 05:44:06,3
79,52949,3,2023-01-17 20:35:38,0,91,4025108,Поставка упаковочных мешков,Орауыш қаптарды жеткізу,188,277779552603,71d7d157-1490-4519-a961-492529ba8fb7,79,0,17259.61,1,0,1,Закупка упаковочных мешков и тары,2024-10-22 14:24:03,3
80,14038,10,2023-05-27 15:21:13,1,462,1506368,Поставка промышленного оборудования,Өнеркәсіптік жабдықтарды жеткізу,149,493898378456,ad0c96ce-8633-4d61-aff5-d09771b570f7,80,0,54366.06,0,1,1,Закупка промышленного оборудования (станки),2024-09-01 21:43:08,3
81,54544,1,2023-08-09 18:06:32,0,279,8910145,Монтаж производственной линии,Өндірістік желіні орнату,161,667126986408,33824a87-e2e1-427c-9a50-98cd93e998f1,81,0,37640.14,1,0,1,Шеф-монтаж и наладка производственной линии,2025-03-26 06:54:46,3
82,40383,1,2025-03-11 05:30:16,1,486,1971025,Поставка фильтров для воды,Су тазалау сүзгілерін жеткізу,174,746222311639,02c2c60a-263f-40fe-b947-e25de6ed84ac,82,1,2387.81,1,1,1,Закупка фильтров для очистки воды,2023-09-20 13:11:58,3
83,1650,8,2025-03-14 03:42:11,0,344,9634997,Поставка систем водоподготовки,Су дайындау жүйелерін жеткізу,190,710731028209,9c5070ad-62d4-4c43-9abe-a6d04cb37cc2,83,1,54771.29,0,0,1,Закупка и установка систем водоподготовки для заводов,2023-10-23 06:11:29,3
84,29578,1,2024-08-20 21:55:27,0,300,6915549,Поставка лабораторных расходников,Лабораториялық шығын материалдарын жеткізу,291,992665259359,7dc473fe-a7e1-42c7-aa66-02e8d56f8787,84,1,13337.72,1,0,0,Закупка лабораторных расходных материалов,2023-03-11 01:01:26,3
85,5696,3,2023-01-26 10:38:42,1,351,880791,Поставка оборудования для мониторинга выбросов,Шығарылымдарды мониторингтеу жабдықтарын жеткізу,322,934720185073,482029ce-7978-44b6-ba77-ff4b161855e3,85,0,53340.00,1,1,1,Закупка оборудования для мониторинга атмосферных выбросов,2023-01-21 01:56:59,3
86,10535,9,2023-06-25 21:49:11,0,181,4523628,Поставка средств связи,Байланыс құралдарын жеткізу,42,834609462179,2a7976d1-af7e-4a8b-9888-55fca26571b9,86,0,65636.85,0,0,1,"Закупка средств связи (радиостанции, ретрансляторы)",2024-12-20 08:42:58,3
87,90667,7,2024-11-03 23:27:24,0,195,1555109,Поставка мобильных устройств,Мобильді құрылғыларды жеткізу,447,455296348688,68255ee1-5b1e-4ac2-9e01-8d54c939bfe1,87,0,1858.28,1,1,0,Закупка мобильных устройств и аксессуаров,2022-12-02 23:41:46,3
88,75910,4,2025-11-13 13:06:09,1,195,6759392,Поставка корпоративных подарков,Корпоративтік сыйлықтар жеткізу,216,874352013335,281f7e6e-928e-4c06-a387-4ebb3147a421,88,1,42746.31,0,1,0,Закупка корпоративных подарков и наборов,2023-09-19 16:04:53,3
89,61210,1,2024-03-05 06:43:15,1,169,3934614,Рекрутинговые услуги,Рекрутинг қызметтері көрсету,331,248152826046,263d20e4-c94e-453a-90e4-327d8b799ca2,89,0,68323.61,0,1,1,Рекрутинговые услуги и подбор персонала,2025-06-29 04:53:30,3
90,8999,5,2025-07-06 01:27:55,1,185,1584925,Проведение тренингов,Тренингтер өткізу,192,154184829348,604b9844-1cdc-498c-9414-92ce896e8896,90,1,67236.59,1,0,1,Проведение тренингов по развитию продаж,2023-01-04 23:44:11,3
91,51083,3,2024-12-13 00:52:10,0,308,6555871,Поставка спецодежды,Арнайы жұмыс киімдерін жеткізу,284,663109735938,af6dfcf6-d05f-4247-bea5-24cbdd72f471,91,0,59303.80,1,0,1,"Закупка спецодежды, обуви и униформы",2025-08-21 00:05:21,3
92,55158,2,2024-03-01 05:28:14,1,387,7412466,Поставка печатей и штампов,Мөрлер мен штамптарды жеткізу,38,524193396430,547e7864-2b5d-44b7-9846-8b0c954fad5a,92,1,58032.99,1,1,1,"Закупка печатей, штампов и бланков",2023-12-06 06:30:34,3
93,18419,6,2025-11-04 14:18:06,0,369,9926835,Поставка медоборудования,Медициналық құрал-жабдықтарды жеткізу,63,516093455935,c708097b-55a1-4f9f-a0dd-66b6f0907fad,93,0,75737.38,1,1,1,Закупка медицинского оборудования для клиник,2025-03-21 04:29:16,3
94,62594,1,2024-05-25 11:25:58,1,493,5668650,Инспекция и сертификация продукции,Өнімді тексеру және сертификаттау қызметтері,256,519892622147,b0ce1261-ef29-473d-94e4-c487d6c6fbc7,94,1,78920.04,1,1,1,Услуги по инспекции и сертификации продукции,2023-12-18 06:09:30,3
95,74764,7,2024-10-07 18:22:00,0,314,5412763,Поставка ИБП (UPS),ИБП (UPS) жеткізу,169,228161360733,efff6092-3cca-45a5-b2d7-e74dc23f3777,95,1,27919.68,0,1,1,Закупка автономных источников питания (ИБП),2023-05-14 12:10:04,3
96,57720,1,2024-01-31 21:30:42,0,417,7289858,Обслуживание компьютерной техники,Компьютер техникасын техникалық қызмет көрсету,361,468059450422,371053ed-f54f-436b-9335-1716e62b5eb4,96,0,35375.74,1,1,1,Ремонт и обслуживание компьютерной техники,2025-10-19 12:23:57,3
97,12115,6,2023-08-06 12:35:24,1,50,6033166,Поставка систем видеоконференций,Бейнеконференция жүйелерін жеткізу,462,389924060352,c63133ad-2266-4a18-9d29-422377c9c27a,97,1,44943.20,0,0,0,Закупка систем видеоконференцсвязи,2023-07-04 22:14:35,3
98,93187,9,2024-04-26 04:04:44,1,318,2569508,Поставка мебели для приёма пациентов,Пациент қабылдау бөлмелері үшін жиһаз жеткізу,152,285855935241,9fa8b6fc-27fa-4d7d-9235-cf6ecdc77ae7,98,1,34447.76,0,0,1,Закупка мебели для приёма пациентов,2023-09-19 22:45:37,3
